รหัส_506,ชื่อโรค
โรคติดต่ออันตราย 13 โรค,
501,กาฬโรค
502,ไข้ทรพิษ
503,ไข้เลือดออกไครเมียนคองโก
504,ไข้เวสต์ไนล์
505,ไข้เหลือง
506,โรคไข้ลาสซา
507,โรคติดเชื้อไวรัสนิปาห์
508,โรคติดเชื้อไวรัสมาร์บวร์ก
509,โรคติดเชื้อไวรัสอีโบลา
510,โรคติดเชื้อไวรัสเฮนตรา
511,โรคทางเดินหายใจเฉียบพลันรุนแรง หรือโรคซาร์ส
512,โรคทางเดินหายใจตะวันออกกลาง หรือโรคเมอร์ส
513,วัณโรคดื้อยาหลายขนานชนิดรุนแรงมาก
1,อหิวาตกโรค
3,อาหารเป็นพิษ
5,โรคบิดจากเชือชิ เกลลา
6,โรคบิดมีตัวหรือโรค บิดจากเชืออะมีบา
8,ไข้ไทฟอยด์หรือ ไข้รากสาดน้อย
9,ไข้พาราไทฟอยด์ หรือไข้รากสาดเทียม
75,โรคพยาธิใบไม้ตับ
85,โรคโบทูลิซึม
58,โรคอาหารเป็นพิษ จากเห็ด
15,ไข้หวัดใหญ่
31,โรคปอดอักเสบหรือ โรคปอดบวม
92,โรคติดเชือไวรัสโคโร นา 2019
16,ไข้หัดเยอรมัน ไข้หัดเยอรมันที่มีโรค แทรกซ้อน
17,โรคสุกใสหรือ โรคอีสุกอีใส
20,โรคโปลิโอ
21,ไข้หัดที่ไม่มีโรค แทรกซ้อน
22,ไข้หัดทีมีโรคแทรก ซ้อน
23,โรคคอตีบ
24,โรคไอกรน
25,โรคบาดทะยัก
29,ไข้สมองอักเสบเจแปนนิส
52,โรคคางทูม
53,บาดทะยักในเด็กแรกเกิด
93,ไข้หัดเยอรมันแต่กำเนิด
19,ไข้กาฬหลังแอ่น
28,ไข้สมองอักเสบ
54,เยื่อหุ้มสมองอักเสบที่ มิได้ระบุรายละเอียด
26,ไข้เลือดออก
27,ไข้เลือดออกช็อก
30,ไข้มาลาเรีย
44,โรคสครับไทฟัส
66,ไข้เด็งกี
84,ไข้ปวดข้อยุงลาย
87,โรคติดเชือไวรัสซิกา
37,โรคซิฟิลิส โรคซิฟิลิสแต่กำเนิด
38,โรคหนองใน
39,โรคหนองในเทียม
40,โรคแผลริมอ่อน
41,กามโรคของต่อมและ ท่อน้ำเหลือง
79,โรคเริมของอวัยวะ สืบพันธุ์และทวารหนัก
80,โรคหูดอวัยวะเพศและ ทวารหนัก
71,โรคมือเท้าปาก
72,โรคเมลิออยโดสิส
90,ไข้เอนเทอโรไวรัส
42,โรคพิษสุนัขบ้า หรือ โรคกลัวน้ำ
43,โรคเลปโตสไปโรสิส
45,โรคแอนแทรกซ
46,โรคทริคิโนสิส
82,โรคติดเชือสเตร็พโต คอคคัสซูอิส
83,โรคบรูเซลโลสิส
91,ไข้หวัดนก
11,โรคไวรัสตับอักเสบ เฉียบพลัน ชนิด เอ
12,โรคไวรัสตับอักเสบ เฉียบพลัน ชนิด บี
13,โรคไวรัสตับอักเสบ เฉียบพลัน ชนิด ซี
69,โรคไวรัสตับอักเสบ เฉียบพลัน ชนิด ด
70,โรคไวรัสตับอักเสบ เฉียบพลัน ชนิด อี
94,ไข้ฝีดาษวานร
2,โรคอุจจาระร่วงเฉียบพลัน
14,โรคตาแดงจากไวรัส
65,โรคอัมพาตกล้ามเนื้ออ่อน ปวกเปียกเฉียบพลัน
78,เหตุการณ์ไม่พึงประสงค์ภายหลัง ได้รับการสร้างเสริมภูมิคุ้มกันโรค
18,ไข้ไม่ทราบสาเหต
-,ไข้ออกผืนจากการติดเชือไวรัส
